WELL_ID,ARRAY_CHECK,GERMLINE_CONTAMINATION,TUMOUR_CONTAMINATION_CONTEST,TUMOUR_CONTAMINATION_CONPAIR,TUMOUR_PURITY,GC_DROP,AT_DROP,COVERAGE_HOMOGENEITY,CHIMERIC_PER,DEAMINATION_MISMATCHES_PER,AV_FRAGMENT_SIZE_BP,MAPPING_RATE_PER,GbQ30NoDupsNoClip,perc_bases_ge_15x_mapQ_ge11,SNV_LOG,INDEL_LOG,SNV,INDEL,SVS,COLLECTION_DATE,TUMOUR_TYPE,DUPL_RATE,COSMIC_COV_LT30X,MEDIAN_COV,DIVERSITY
LP3000223-DNA_B02,,,Pass,Pass,73,-6.48,7.50,28.20,3.01,26.63,644.10,90.19,306.20,97.0,4.40,4.12,25280,13300,397,2016-12-09,Renal,11.90,1.16,82.51,4232950509
LP3000223-DNA_E02,,,Pass,Pass,24,-2.42,4.43,23.45,0.76,25.09,361.50,94.82,307.47,96.9,4.25,4.07,17714,11804,119,2016-12-22,Renal,10.34,.96,97.48,5448251963
LP3000223-DNA_F02,,,Pass,Pass,39,-0.89,4.49,16.45,1.01,27.88,445.20,93.42,286.70,96.9,4.13,4.23,13759,17009,249,2016-02-09,Prostate,15.06,1.30,89.18,3495004028
LP3000223-DNA_G01,,,Pass,Pass,22,-1.78,4.96,33.90,0.47,24.55,379.80,95.46,322.52,96.7,4.32,4.04,20795,11011,116,2016-09-14,Renal,11.34,1.81,100.22,5181230605
LP3000228-DNA_A01,,,Pass,Pass,89,-5.38,7.79,26.51,0.51,29.37,368.80,95.80,318.41,96.9,4.39,4.19,24474,15485,174,2016-12-08,Colorectal,12.04,1.67,101.21,4847407341
LP3000228-DNA_A02,,,Pass,Pass,73,-18.61,12.63,46.97,0.67,24.68,355.70,94.12,297.03,96.8,4.63,4.24,42525,17538,201,2016-12-14,Colorectal,13.39,3.46,82.35,4095602781
LP3000228-DNA_B01,,,Pass,Pass,35,-15.60,13.73,44.46,0.69,27.31,342.40,93.72,300.61,96.8,4.21,4.13,16358,13721,126,2016-12-08,Renal,9.87,2.20,88.63,5557186902
LP3000228-DNA_C01,,,Pass,Pass,27,-20.64,14.96,48.87,0.89,30.04,399.00,93.00,279.91,96.6,4.24,4.21,17471,16395,261,2016-12-22,Prostate,13.76,9.14,78.07,3799729049
LP3000228-DNA_D02,,,Pass,Pass,33,-15.21,11.45,39.89,0.50,29.69,365.60,94.05,297.18,96.8,4.15,4.12,14314,13323,292,2016-12-14,Breast,11.52,1.69,87.82,4813894630
LP3000228-DNA_E02,,,Pass,Pass,42,-15.58,12.17,41.27,0.67,27.87,344.70,94.05,308.42,96.8,4.16,4.12,14471,13168,146,2016-12-22,Testicular Germ Cell Tumours,10.62,1.37,91.03,5368269980
LP3000228-DNA_F01,,,Pass,Pass,20,-2.51,5.62,27.21,0.37,28.81,403.40,95.14,300.10,96.8,4.12,4.11,13262,12901,104,2016-10-25,Breast,8.21,1.10,95.80,6603926420
LP3000228-DNA_F02,,,Pass,Pass,76,-9.15,9.87,30.85,0.42,25.58,349.10,95.16,307.71,96.8,4.46,4.22,28736,16647,826,2016-12-01,Breast,11.82,1.60,96.19,4873283208
LP3000228-DNA_G01,,,Pass,Pass,45,-21.37,13.91,51.87,0.92,30.27,440.10,93.52,297.78,96.7,4.19,4.64,15674,43520,280,2016-12-15,Breast,12.75,4.28,78.97,4277482629
LP3000228-DNA_H01,,,Pass,Pass,24,-5.90,9.83,30.52,0.56,19.71,375.10,94.47,314.48,96.9,4.65,4.18,45176,15080,251,2016-05-27,Lung,11.79,1.10,98.76,4844635725
LP3000289-DNA_A02,,,Pass,Pass,20,-7.11,7.61,25.68,0.72,29.14,428.70,95.46,325.09,97.0,4.18,4.17,15336,15022,248,N/A,N/A,12.68,.58,97.97,4541963339
LP3000289-DNA_A03,,,Pass,Pass,61,-5.92,7.07,18.72,1.84,29.85,540.60,89.07,281.70,96.9,4.16,4.04,14351,10952,338,N/A,N/A,17.84,1.09,77.83,2661211416
LP3000289-DNA_A04,,,Pass,Pass,58,-6.36,7.77,35.63,0.38,32.61,408.20,95.21,313.01,96.5,4.25,4.24,17882,17649,88,N/A,N/A,13.39,.94,95.86,4283025861
LP3000289-DNA_A07,,,Pass,Pass,34,-12.06,10.17,28.52,1.45,22.81,518.80,92.75,294.58,96.9,4.61,4.25,41347,17868,435,N/A,N/A,20.14,.76,81.50,2593882382
LP3000289-DNA_A08,,,Pass,Pass,21,-1.69,3.85,28.21,0.55,21.66,461.70,95.75,330.63,97.0,4.33,4.13,21628,13708,87,N/A,N/A,9.64,.72,101.77,6051361561
LP3000289-DNA_A10,,,Pass,Pass,24,-12.41,9.85,34.50,0.81,28.99,469.30,95.03,310.39,96.9,4.36,4.10,23060,12704,533,N/A,N/A,12.35,.57,87.45,4433542490
LP3000289-DNA_B02,,,Pass,Pass,20,-1.49,6.40,23.95,0.43,29.74,460.10,96.29,326.51,97.0,3.83,3.52,6706,3356,43,N/A,N/A,10.61,.92,104.43,5583003163
LP3000289-DNA_B03,,,Pass,Pass,20,-1.24,4.93,20.49,0.55,29.33,393.80,95.74,323.14,97.0,4.23,4.13,17199,13606,112,N/A,N/A,11.59,1.12,100.79,4972279072
LP3000289-DNA_B08,,,Pass,Pass,20,3.43,1.97,18.71,0.32,27.70,412.70,96.25,319.14,96.9,4.25,4.18,17705,15100,277,N/A,N/A,12.71,1.39,101.91,4530198872
LP3000289-DNA_C01,,,Pass,Pass,40,0.82,4.37,20.18,0.44,28.04,383.50,95.91,309.89,96.8,4.22,4.23,16719,17258,226,N/A,N/A,11.22,1.74,98.07,4984684289
LP3000289-DNA_C02,,,Pass,Pass,41,-11.02,11.72,41.67,0.81,31.62,455.80,93.26,312.23,96.6,4.37,4.30,23645,19945,161,N/A,N/A,12.65,1.19,87.10,4366777837
LP3000289-DNA_C03,,,Pass,Pass,44,-16.54,11.51,35.97,1.60,24.95,524.60,91.87,292.69,96.8,4.63,4.19,42914,15597,326,N/A,N/A,14.55,.76,77.02,3508452326
LP3000289-DNA_C05,,,Pass,Pass,20,1.40,2.11,22.66,0.40,25.15,408.10,96.57,318.22,96.8,4.19,4.00,15547,10027,160,N/A,N/A,12.12,1.16,101.64,4637919366
LP3000289-DNA_C06,,,Pass,Pass,20,-7.26,7.48,29.33,1.51,29.01,526.30,92.65,300.90,97.0,4.18,4.19,15207,15475,242,N/A,N/A,15.92,.89,82.86,3184869886
